Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-08-03 12:17:28,38.3,1.795,1.013,1.026
2024-08-03 12:17:33,38.8,1.794,1.000,1.011
2024-08-03 12:17:37,38.8,1.793,1.042,1.050
2024-08-03 12:17:42,38.8,1.795,0.992,1.002
2024-08-03 12:17:46,38.1,1.794,1.028,1.001
2024-08-03 12:17:50,38.4,1.792,1.006,1.019
2024-08-03 12:17:55,38.9,1.794,1.039,1.024
2024-08-03 12:17:59,38.9,1.793,1.043,1.044
2024-08-03 12:18:04,38.5,1.794,1.019,1.000
2024-08-03 12:18:08,39.0,1.794,1.052,1.044
2024-08-03 12:18:12,37.7,1.795,0.999,1.014
2024-08-03 12:18:17,38.6,1.794,0.999,1.014
2024-08-03 12:18:21,38.3,1.793,1.041,1.027
2024-08-03 12:18:26,38.9,1.794,1.048,1.039
2024-08-03 12:18:30,38.6,1.794,1.012,1.025
2024-08-03 12:18:35,38.5,1.794,1.031,0.998
2024-08-03 12:18:39,38.5,1.794,1.045,1.038
2024-08-03 12:18:43,38.9,1.794,1.034,1.048
2024-08-03 12:18:48,38.5,1.794,1.050,1.042
2024-08-03 12:18:52,38.8,1.794,1.052,1.044
2024-08-03 12:18:57,38.6,1.792,0.995,1.003
2024-08-03 12:19:01,37.9,1.793,1.044,1.018
2024-08-03 12:19:05,38.4,1.795,1.012,0.994
2024-08-03 12:19:10,38.6,1.793,0.994,1.007
2024-08-03 12:19:14,38.5,1.793,1.028,1.002
2024-08-03 12:19:19,38.3,1.792,0.995,1.007
2024-08-03 12:19:23,38.1,1.792,1.026,1.039
2024-08-03 12:19:28,38.4,1.791,1.042,1.038
2024-08-03 12:19:32,39.0,1.794,1.028,1.054
2024-08-03 12:19:36,38.6,1.794,1.003,1.016
2024-08-03 12:19:41,38.8,1.794,1.003,1.018
2024-08-03 12:19:45,38.5,1.794,1.015,1.022
2024-08-03 12:19:50,38.6,1.794,1.036,1.040
2024-08-03 12:19:54,38.1,1.794,1.046,1.038
2024-08-03 12:19:59,38.6,1.794,1.048,1.047
2024-08-03 12:20:03,38.5,1.794,0.994,1.008
2024-08-03 12:20:07,38.9,1.794,1.017,1.025
2024-08-03 12:20:12,39.3,1.793,1.018,1.035
2024-08-03 12:20:16,38.5,1.794,1.042,1.036
2024-08-03 12:20:21,38.1,1.794,1.022,0.993
2024-08-03 12:20:25,38.5,1.793,1.010,1.019
2024-08-03 12:20:29,39.0,1.793,1.038,1.032
2024-08-03 12:20:34,38.6,1.792,1.017,1.025
2024-08-03 12:20:38,38.8,1.794,1.042,1.031
2024-08-03 12:20:43,38.5,1.794,1.026,1.051
2024-08-03 12:20:47,38.8,1.794,1.011,0.998
2024-08-03 12:20:52,38.1,1.794,1.000,1.012
2024-08-03 12:20:56,38.0,1.794,1.039,1.047
2024-08-03 12:21:00,39.0,1.794,1.025,1.050
2024-08-03 12:21:05,38.5,1.794,1.008,1.018
2024-08-03 12:21:09,38.9,1.794,1.015,1.033
2024-08-03 12:21:14,38.8,1.794,1.010,1.018
2024-08-03 12:21:18,38.3,1.794,1.037,1.036
2024-08-03 12:21:22,38.5,1.794,1.005,1.020
2024-08-03 12:21:27,38.1,1.793,1.003,0.999
2024-08-03 12:21:31,38.9,1.792,1.023,1.046
2024-08-03 12:21:36,38.6,1.795,1.015,1.029
2024-08-03 12:21:40,38.5,1.793,1.049,1.028
2024-08-03 12:21:45,39.1,1.794,1.030,1.009
2024-08-03 12:21:49,38.8,1.793,1.039,1.017
