Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_14:34:25,1998.0397021770477,30.0,130.0,184.0,0.0,56.0
2024-07-07_14:34:34,2007.324550151825,30.0,130.0,215.0,0.0,88.0
2024-07-07_14:34:44,2016.5824732780457,30.0,130.0,247.0,0.0,120.0
2024-07-07_14:34:53,2025.5891652107239,30.0,130.0,23.0,0.0,153.0
2024-07-07_14:35:02,2034.7032034397125,30.0,130.0,55.0,0.0,185.0
2024-07-07_14:35:11,2043.9551560878754,30.0,130.0,87.0,0.0,217.0
2024-07-07_14:35:20,2053.044147491455,30.0,130.0,119.0,0.0,250.0
2024-07-07_14:35:29,2062.277429819107,30.0,130.0,151.0,0.0,25.0
2024-07-07_14:35:38,2071.5168385505676,30.0,130.0,183.0,0.0,57.0
2024-07-07_14:35:48,2080.6885929107666,30.0,130.0,183.0,0.0,90.0
2024-07-07_14:35:57,2090.098900079727,30.0,130.0,215.0,0.0,109.0
2024-07-07_14:36:06,2099.5496900081635,30.0,130.0,247.0,0.0,142.0
2024-07-07_14:36:16,2108.91593337059,30.0,130.0,23.0,0.0,175.0
2024-07-07_14:36:25,2118.448287010193,30.0,130.0,55.0,0.0,207.0
2024-07-07_14:36:35,2127.789535999298,30.0,130.0,87.0,0.0,239.0
2024-07-07_14:36:44,2137.2520685195923,30.0,130.0,119.0,0.0,15.0
2024-07-07_14:36:54,2146.6121788024902,30.0,130.0,151.0,0.0,47.0
2024-07-07_14:37:03,2156.0872616767883,30.0,130.0,183.0,0.0,79.0
2024-07-07_14:37:12,2165.5043618679047,30.0,130.0,215.0,0.0,112.0
2024-07-07_14:37:22,2174.853353738785,30.0,130.0,247.0,0.0,144.0
2024-07-07_14:37:31,2184.3948175907135,30.0,130.0,23.0,0.0,177.0
2024-07-07_14:37:41,2193.727326154709,30.0,130.0,55.0,0.0,210.0
2024-07-07_14:37:50,2202.9901809692383,30.0,130.0,87.0,0.0,246.0
2024-07-07_14:37:59,2212.4421887397766,30.0,130.0,119.0,0.0,22.0
2024-07-07_14:38:09,2221.860605239868,30.0,130.0,151.0,0.0,54.0
2024-07-07_14:38:18,2231.2763679027557,30.0,130.0,183.0,0.0,87.0
2024-07-07_14:38:28,2240.770856142044,30.0,130.0,215.0,0.0,119.0
2024-07-07_14:38:37,2250.1758255958557,30.0,130.0,247.0,0.0,148.0
2024-07-07_14:38:46,2259.54593706131,30.0,130.0,23.0,0.0,180.0
2024-07-07_14:38:56,2269.0314712524414,30.0,130.0,55.0,0.0,245.0
2024-07-07_14:39:05,2278.401172876358,30.0,130.0,87.0,0.0,24.0
2024-07-07_14:39:15,2287.7224457263947,30.0,130.0,119.0,0.0,58.0
2024-07-07_14:39:24,2297.0786588191986,30.0,130.0,150.0,0.0,91.0
2024-07-07_14:39:33,2306.4473950862885,30.0,130.0,181.0,0.0,124.0
2024-07-07_14:39:43,2315.921672821045,30.0,130.0,213.0,0.0,157.0
2024-07-07_14:39:52,2325.397570848465,30.0,130.0,245.0,0.0,190.0
2024-07-07_14:40:02,2334.910745382309,30.0,130.0,21.0,0.0,223.0
2024-07-07_14:40:11,2344.261116504669,30.0,130.0,53.0,0.0,255.0
2024-07-07_14:40:21,2353.6798844337463,30.0,130.0,85.0,0.0,33.0
2024-07-07_14:40:30,2363.03763794899,30.0,130.0,117.0,0.0,66.0
2024-07-07_14:40:39,2372.490765810013,30.0,130.0,149.0,0.0,98.0
2024-07-07_14:40:49,2381.9660341739655,30.0,130.0,181.0,0.0,130.0
2024-07-07_14:40:58,2391.4124958515167,30.0,130.0,213.0,0.0,163.0
2024-07-07_14:41:08,2400.725207567215,30.0,130.0,245.0,0.0,195.0
2024-07-07_14:41:17,2410.2520797252655,30.0,130.0,21.0,0.0,227.0
2024-07-07_14:41:27,2419.7361228466034,30.0,130.0,53.0,0.0,3.0
2024-07-07_14:41:36,2429.0957770347595,30.0,130.0,83.0,0.0,34.0
2024-07-07_14:41:45,2438.4496252536774,30.0,130.0,114.0,0.0,70.0
2024-07-07_14:41:55,2447.995002269745,30.0,130.0,146.0,0.0,102.0
2024-07-07_14:42:04,2457.368912935257,30.0,130.0,178.0,0.0,133.0
2024-07-07_14:42:14,2466.942095041275,30.0,130.0,210.0,0.0,166.0
2024-07-07_14:42:23,2476.329642534256,30.0,130.0,242.0,0.0,198.0
2024-07-07_14:42:33,2485.7891182899475,30.0,130.0,18.0,0.0,230.0
2024-07-07_14:42:42,2495.1608188152313,30.0,130.0,50.0,0.0,7.0
2024-07-07_14:42:52,2504.5997483730316,30.0,130.0,82.0,0.0,43.0
2024-07-07_14:43:01,2514.0751559734344,30.0,130.0,114.0,0.0,76.0
2024-07-07_14:43:10,2523.47012090683,30.0,130.0,146.0,0.0,108.0
2024-07-07_14:43:20,2532.9088225364685,30.0,130.0,177.0,0.0,140.0
2024-07-07_14:43:29,2542.267846107483,30.0,130.0,209.0,0.0,172.0
2024-07-07_14:43:39,2551.64826130867,30.0,130.0,238.0,0.0,204.0
2024-07-07_14:43:48,2561.349205493927,30.0,130.0,14.0,0.0,236.0
2024-07-07_14:43:58,2570.752742767334,30.0,130.0,46.0,0.0,13.0
2024-07-07_14:44:07,2580.1202099323273,30.0,130.0,78.0,0.0,45.0
2024-07-07_14:44:17,2589.699875354767,30.0,130.0,110.0,0.0,47.0
2024-07-07_14:44:26,2599.0881900787354,30.0,130.0,141.0,0.0,80.0
2024-07-07_14:44:35,2608.507705450058,30.0,130.0,173.0,0.0,113.0
2024-07-07_14:44:45,2618.0100169181824,30.0,130.0,205.0,0.0,145.0
2024-07-07_14:44:54,2627.2678170204163,30.0,130.0,205.0,0.0,177.0
2024-07-07_14:45:04,2636.5573205947876,30.0,130.0,237.0,0.0,209.0
2024-07-07_14:45:13,2646.0520782470703,30.0,130.0,13.0,0.0,241.0
2024-07-07_14:45:22,2655.4829528331757,30.0,130.0,45.0,0.0,17.0
2024-07-07_14:45:32,2664.8625676631927,30.0,130.0,77.0,0.0,49.0
2024-07-07_14:45:41,2674.2881298065186,30.0,130.0,108.0,0.0,83.0
2024-07-07_14:45:51,2683.7112357616425,30.0,130.0,139.0,0.0,115.0
2024-07-07_14:46:00,2693.115558385849,30.0,130.0,171.0,0.0,147.0
